,INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER,TYPE,METADATA,COUNTRY_NAME_EN,INDICATOR_LABEL_EN
4,10,TZA,2022,0.0,,,,,United Republic of Tanzania,Official entrance age to early childhood educational development (years)
9635,10403,TZA,2022,10.0,,,,,United Republic of Tanzania,Start month of the academic school year (tertiary education)
2508,10404,TZA,2022,7.0,,,,,United Republic of Tanzania,End month of the academic school year (tertiary education)
1708,10405,TZA,2022,2021.0,,,,,United Republic of Tanzania,Start of the academic school year (tertiary education)
8304,10406,TZA,2022,2022.0,,,,,United Republic of Tanzania,End of the academic school year (tertiary education)
3588,13,TZA,2022,0.0,,,,,United Republic of Tanzania,Theoretical duration of early childhood educational development (years)
9607,20060,TZA,2021,1390825.0,,,,,United Republic of Tanzania,"Enrolment in pre-primary education, both sexes (number)"
3931,20061,TZA,2021,684430.0,,,,,United Republic of Tanzania,"Enrolment in pre-primary education, female (number)"
3193,20062,TZA,2021,11196788.0,,,,,United Republic of Tanzania,"Enrolment in primary education, both sexes (number)"
10099,20063,TZA,2021,5639081.0,,,,,United Republic of Tanzania,"Enrolment in primary education, female (number)"
394,20064,TZA,2021,2185037.0,,,,,United Republic of Tanzania,"Enrolment in lower secondary education, both sexes (number)"
6623,20065,TZA,2021,1139596.0,,,,,United Republic of Tanzania,"Enrolment in lower secondary education, female (number)"
9134,20070,TZA,2021,153420.0,,,,,United Republic of Tanzania,"Enrolment in upper secondary education, both sexes (number)"
6121,20071,TZA,2021,65773.0,,,,,United Republic of Tanzania,"Enrolment in upper secondary education, female (number)"
2954,20076,TZA,2018,119184.0,,,,,United Republic of Tanzania,"Enrolment in post-secondary non-tertiary education, both sexes (number)"
4826,20077,TZA,2018,39134.0,,,,,United Republic of Tanzania,"Enrolment in post-secondary non-tertiary education, female (number)"
4832,20082,TZA,2021,2338457.0,,,,,United Republic of Tanzania,"Enrolment in secondary education, both sexes (number)"
7855,20083,TZA,2021,1205369.0,,,,,United Republic of Tanzania,"Enrolment in secondary education, female (number)"
8879,20160,TZA,2021,14253.0,,,,,United Republic of Tanzania,"Teachers in pre-primary education, both sexes (number)"
5763,20161,TZA,2021,10956.0,,,,,United Republic of Tanzania,"Teachers in pre-primary education, female (number)"
